"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.452529456,      -13.06641265,      -13.06752961,       2.027497219,      -5.954034396
          0,           0,           1,      -3.756486398,      -1.421281091,      -1.146884104,       1.725020422,      -6.094738659
          0,           0,           2,      -3.920798724,      -1.804496998,      -1.493871504,       1.561026963,      -6.245472099
          0,           0,           3,      -4.010060444,      -1.835841793,      -1.536047613,        1.47085231,       -6.37156024
          0,           0,           4,      -4.081834653,      -1.797147272,      -1.511014071,       1.398394479,      -6.576124604
          0,           0,           5,      -4.116939085,      -1.744906916,       -1.48217201,       1.363037584,      -6.625483817
          0,           0,           6,      -4.132805064,      -1.698214335,      -1.464682494,       1.347037179,      -6.654777582
          0,           0,           7,      -4.157114686,      -1.668494701,       -1.46756701,        1.32232848,      -6.676496377
          0,           0,           8,      -4.181515119,      -1.659116882,       -1.48852955,       1.297322099,      -6.695396266
          0,           0,           9,      -4.200080125,      -1.674617403,      -1.528516287,       1.278204147,      -6.714857801
          0,           0,          10,      -4.198266472,      -1.717538298,      -1.586889622,       1.280049281,      -6.736026984
          0,           0,          11,      -4.176498873,      -1.788246042,      -1.661209425,       1.302269009,      -6.758078181
          0,           0,          12,      -4.149464164,       -1.87511968,      -1.739445445,       1.329927572,      -6.783457009
          0,           0,          13,      -4.135935841,      -1.947753097,      -1.794912107,       1.343825243,      -6.816941184
          0,           0,          14,      -4.141883788,      -1.970445499,      -1.818172282,       1.337969263,       -6.85271987
          0,           0,          15,      -4.169273479,      -1.948491657,      -1.800880773,       1.310440173,      -6.883906754
          0,           0,          16,      -4.207958058,      -1.915045643,      -1.779880334,       1.271467907,      -6.908480337
          0,           0,          17,      -4.251046081,      -1.887975949,      -1.759400397,       1.228059738,      -6.927772958
          0,           0,          18,      -4.292957995,      -1.872286091,      -1.748147071,       1.185839804,      -6.943231486
          0,           0,          19,      -4.326486742,      -1.869059476,      -1.748847904,       1.152063954,      -6.955560516
          0,           0,          20,      -4.347340082,       -1.87877581,      -1.763482948,       1.131028558,      -6.964919232
          0,           0,          21,      -4.353765665,      -1.902158769,       -1.79168489,       1.124559951,      -6.972214765
          0,           0,          22,      -4.349091791,       -1.93975702,      -1.837199033,       1.129325495,      -6.977826915
          0,           0,          23,      -4.338549404,      -1.990731155,      -1.898077451,       1.140027829,      -6.982511042
          0,           0,          24,      -4.328837426,      -2.051181099,      -1.970365959,       1.149920886,       -6.98681763
          0,           0,          25,      -4.325200167,      -2.109491865,      -2.038810173,       1.153716068,      -6.991011971
          0,           0,          26,      -4.331038585,      -2.144096588,      -2.073088008,       1.147971508,      -6.995050782
          0,           0,          27,        -4.3486326,       -2.13599389,      -2.053672998,       1.130379722,      -6.998734255
          0,           0,          28,      -4.379251642,      -2.095207691,      -2.002810104,       1.099633173,      -7.001521436
          0,           0,          29,      -4.422264518,      -2.045619357,      -1.948385385,       1.056325025,       -7.00263683
          0,           0,          30,      -4.476158406,      -2.003155048,      -1.905598612,       1.001938252,      -7.001634512
          0,           0,          31,      -4.533192889,      -1.974081324,      -1.876296199,      0.9442201557,      -6.998641309
          0,           0,          32,      -4.580153693,      -1.960291043,      -1.863873745,      0.8965849572,      -6.993878147
          0,           0,          33,       -4.60039834,      -1.961711746,      -1.864732522,      0.8761802568,      -6.987930552
          0,           0,          34,      -4.589014219,      -1.977997804,       -1.87770459,      0.8879962122,      -6.981665905
          0,           0,          35,       -4.55792162,      -2.008703241,       -1.90050577,      0.9197716991,      -6.976148629
          0,           0,          36,      -4.523937504,      -2.053197658,      -1.930587037,      0.9543478151,       -6.97201086
          0,           0,          37,      -4.496178548,      -2.108506733,      -1.963147612,      0.9825380749,      -6.970288681
          0,           0,          38,      -4.479359149,      -2.169378552,      -1.994557249,      0.9996271741,      -6.971192916
          0,           0,          39,      -4.472654601,      -2.224915648,      -2.017536514,        1.00651343,       -6.97399851
          0,           0,          40,      -4.473481245,      -2.260636631,      -2.030750306,       1.005836557,      -6.978408741
          0,           0,          41,      -4.478484684,      -2.267676479,      -2.035149954,       1.000979251,      -6.984518917
          0,           0,          42,      -4.482996273,      -2.252682011,      -2.037897959,      0.9966300378,      -6.991614935
          0,           0,          43,      -4.482204341,      -2.230330726,         -2.041812,      0.9975798714,      -6.998934695
          0,           0,          44,      -4.475132064,        -2.2118201,      -2.049052619,       1.004817863,      -7.006030813
          0,           0,          45,      -4.463794264,      -2.203289641,      -2.063352949,       1.016294914,      -7.012379694
          0,           0,          46,      -4.451202058,       -2.20654667,      -2.082708936,       1.028975303,      -7.017784211
          0,           0,          47,      -4.441642862,      -2.221517237,      -2.108036682,       1.038584396,      -7.022330318
          0,           0,          48,      -4.438699494,      -2.246686335,       -2.13412876,       1.041542221,      -7.026485522
          0,           0,          49,      -4.444228969,      -2.277668462,      -2.147043024,        1.03601318,      -7.030381748
          0,           0,          50,      -4.459857877,      -2.308517209,      -2.144749019,       1.020360577,      -7.034059036
          0,           0,          51,      -4.486556549,      -2.329783206,      -2.128233274,      0.9936176437,      -7.037484647
          0,           0,          52,      -4.524604583,      -2.334325672,       -2.09620769,       0.955502711,      -7.040732583
          0,           0,          53,      -4.574683309,      -2.321957188,      -2.064694934,      0.9053228453,      -7.043413933
          0,           0,          54,      -4.637837343,      -2.299972151,      -2.035960885,      0.8420404853,      -7.045273292
          0,           0,          55,       -4.71002368,       -2.27613093,      -2.013047729,      0.7697344183,      -7.046045658
          0,           0,          56,      -4.782320978,      -2.256945019,      -1.997270493,      0.6974236742,      -7.045597948
          0,           0,          57,      -4.836258662,      -2.246104073,       -1.99222182,      0.6438328132,      -7.043975189
          0,           0,          58,      -4.848313679,      -2.245588083,      -1.997962442,      0.6324679782,      -7.041372056
          0,           0,          59,      -4.814698692,      -2.256002699,      -2.010411174,      0.6667147235,      -7.038311785
          0,           0,          60,      -4.763634814,      -2.277898035,      -2.036334516,      0.7180885673,      -7.035210313
          0,           0,          61,      -4.710358467,      -2.309799581,      -2.069412525,      0.7714808307,      -7.032478085
          0,           0,          62,       -4.66450106,      -2.350216349,      -2.110955385,      0.8173367108,      -7.030489382
          0,           0,          63,      -4.629740442,      -2.395506352,       -2.16011988,      0.8520433353,      -7.029495762
          0,           0,          64,      -4.605760495,        -2.4395765,      -2.213145507,       0.875943554,      -7.029480185
          0,           0,          65,      -4.591245774,      -2.474025712,      -2.264340858,      0.8903807294,      -7.030470911
          0,           0,          66,      -4.585023609,      -2.492451264,      -2.296650096,      0.8965108358,      -7.032188069
          0,           0,          67,      -4.587075324,       -2.49489334,      -2.314925878,      0.8943698917,       -7.03442808
          0,           0,          68,      -4.594862655,       -2.48703241,      -2.315896761,      0.8865060716,        -7.0368279
          0,           0,          69,      -4.607181814,      -2.475852195,      -2.299229296,      0.8741169922,      -7.039108619
          0,           0,          70,      -4.623936822,      -2.466628396,       -2.27991764,      0.8573056635,      -7.041143723
          0,           0,          71,      -4.645140294,      -2.461771973,      -2.262200103,      0.8360463542,      -7.042757517
          0,           0,          72,      -4.668361019,      -2.460939144,      -2.240129093,      0.8127856799,      -7.043811781
          0,           0,          73,      -4.694756264,      -2.462203107,      -2.228217983,      0.7863773952,      -7.044428279
          0,           0,          74,      -4.723563421,      -2.463796415,      -2.219053669,      0.7576000909,      -7.044588314
          0,           0,          75,      -4.753433574,      -2.461725957,       -2.20371204,      0.7277965981,      -7.044324724
          0,           0,          76,       -4.78817134,      -2.455503317,      -2.200129643,      0.6931659798,      -7.043661246
          0,           0,          77,      -4.823515895,      -2.444482366,      -2.191869265,      0.6580045821,      -7.042702746
          0,           0,          78,      -4.858489857,      -2.430476083,      -2.185720246,      0.6232338535,      -7.041468148
          0,           0,          79,      -4.892795182,      -2.416369179,      -2.185412651,      0.5892004073,      -7.039966805
          0,           0,          80,      -4.915667756,      -2.404938875,      -2.181578865,      0.5665237005,       -7.03819724
          0,           0,          81,      -4.928237743,      -2.398305181,      -2.187863046,       0.554086943,      -7.036235306
