"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.004804586896882e+00, 6.992150016547227e-02, 8.595062733994522e-03, 2.517741756625055e+00, 1.006108870517583e+00, 1.001298047040897e+00, 5.921613662290164e-02, 8.726957882261620e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.002461784703028e+00, 8.331390383324623e-02, 1.161396840688429e-02, 2.512175828321423e+00, 1.003458588568482e+00, 1.000994355975125e+00, 7.088413462286372e-02, 4.940840812117021e-01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.002108654607463e+00, 9.106468595974063e-02, 1.300091882482950e-02, 2.511489134678761e+00, 1.002906854781639e+00, 1.000796520587369e+00, 7.754962063132639e-02, 4.152649688055543e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.001671312470840e+00, 9.499104182395178e-02, 1.366789134568317e-02, 2.510500842059742e+00, 1.002361388425161e+00, 1.000688924546136e+00, 8.094566425732652e-02, 3.373412035944579e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.001457085692398e+00, 9.758123272433214e-02, 1.403868962319916e-02, 2.510037103701165e+00, 1.002073833338391e+00, 1.000615850299333e+00, 8.317346643486179e-02, 2.962619054844217e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.001293540622396e+00, 9.962633182778088e-02, 1.429735963492750e-02, 2.509686236540603e+00, 1.001851147800342e+00, 1.000556886822221e+00, 8.492871427975790e-02, 2.644496857632082e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.001166541146550e+00, 1.013688244280989e-01, 1.449331313506795e-02, 2.509419066093443e+00, 1.001672931047426e+00, 1.000505799864522e+00, 8.642083416192280e-02, 2.389901496322456e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.001058180284993e+00, 1.029139048071250e-01, 1.464656969388404e-02, 2.509193464184434e+00, 1.001518511390688e+00, 1.000459844507303e+00, 8.774152336847676e-02, 2.169301986697356e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.000956809909016e+00, 1.042833580536730e-01, 1.476525372410093e-02, 2.508980682289792e+00, 1.001375787374349e+00, 1.000418576966743e+00, 8.891087669129973e-02, 1.965410534783592e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.000865356186270e+00, 1.055238859168318e-01, 1.485339640815457e-02, 2.508789257535306e+00, 1.001246483920134e+00, 1.000380798207779e+00, 8.996813067142674e-02, 1.780691314476891e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.000780122859174e+00, 1.066638391747289e-01, 1.491678062850174e-02, 2.508610683393698e+00, 1.001126144796198e+00, 1.000345752207823e+00, 9.093798808240992e-02, 1.608778280282688e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.000700007008531e+00, 1.077226611203272e-01, 1.495890482438830e-02, 2.508442710890043e+00, 1.001013151015445e+00, 1.000312924957251e+00, 9.183721512954192e-02, 1.447358593492813e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.000624692976091e+00, 1.087156148911272e-01, 1.498184358799359e-02, 2.508284957127011e+00, 1.000906778502762e+00, 1.000281909419837e+00, 9.267885265820171e-02, 1.295397861088407e-01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.000552731724436e+00, 1.096504359333495e-01, 1.498757912548710e-02, 2.508133988192239e+00, 1.000805379357819e+00, 1.000252508064165e+00, 9.346973848017529e-02, 1.150541939740941e-01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.000484328419561e+00, 1.105367421730970e-01, 1.497744712081569e-02, 2.507990579690042e+00, 1.000708897504242e+00, 1.000224460372144e+00, 9.421806688541583e-02, 1.012710720345669e-01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.000418913195920e+00, 1.113800616674609e-01, 1.495277642164540e-02, 2.507853449357586e+00, 1.000616616667650e+00, 1.000197620685817e+00, 9.492868044247121e-02, 8.808809537863564e-02
