"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,           0,       -6.09230422,      -4.921223675,      -5.349379854,                 0,      -3.965980276
          0,           0,           1,       -4.79347599,      -3.841410174,      -3.800185414,                 0,      -4.142000655
          0,           0,           2,      -4.792031966,      -3.864100903,      -3.885446831,                 0,      -4.230335815
          0,           0,           3,      -4.876718916,      -3.951098333,      -3.985338901,                 0,      -4.345764023
          0,           0,           4,      -5.018837696,      -4.090333829,      -4.122537891,                 0,      -4.417369733
          0,           0,           5,      -5.038402414,      -4.112483119,      -4.172174737,                 0,      -4.493374485
          0,           0,           6,      -5.192294319,      -4.268217368,      -4.276976594,                 0,      -4.620373222
          0,           0,           7,      -5.311883772,      -4.393041452,      -4.374855269,                 0,      -4.726978125
          0,           0,           8,       -5.41589704,      -4.495098655,       -4.46732266,                 0,      -4.829557474
          0,           0,           9,      -5.474213394,      -4.540897054,      -4.587574819,                 0,       -4.91554506
          0,           0,          10,      -5.583757354,      -4.645194612,      -4.659654397,                 0,      -5.039302351
          0,           0,          11,      -5.624781656,      -4.702285176,      -4.686266151,                 0,      -5.068309181
          0,           0,          12,      -5.684539239,      -4.750387058,      -4.756900772,                 0,       -5.21641777
          0,           0,          13,      -5.746092661,       -4.78190669,      -4.871548358,                 0,      -5.266801953
          0,           0,          14,      -5.806296502,      -4.828617478,      -4.926150941,                 0,      -5.414941752
          0,           0,          15,      -5.824712317,       -4.86220767,       -4.93645823,                 0,      -5.463811337
          0,           0,          16,      -5.839086198,      -4.870394216,      -4.964825663,                 0,      -5.555702438
          0,           0,          17,      -5.859580857,      -4.872425894,      -4.993922657,                 0,      -5.593800552
          0,           0,          18,      -5.871143668,      -4.881367226,      -5.005365266,                 0,      -5.631726976
          0,           0,          19,       -5.85739429,      -4.881084956,       -4.99741448,                 0,      -5.624784179
