"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, -2.617019160181121e-02, 2.715531767966459e-01, -9.449973168717192e-02, -7.670926968669228e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.823972757832166e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, -2.314882044287387e-02, 2.344367511469092e-01, -1.018973235846899e-01, -6.648398576978216e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.691714320946950e-03
2, 9.977599978450000e-01, -3.251111630156300e-04, -2.082230998535064e-02, 2.082360840625296e-01, -1.061203847623825e-01, -5.991933934732166e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.081986781234959e-03
3, 9.960200190539999e-01, -5.769983605901485e-04, -1.871116666218432e-02, 1.853180004939967e-01, -1.086702062271583e-01, -5.371956921879267e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.667643053648954e-03
4, 9.937800168990000e-01, -9.004365425509819e-04, -1.694996105400177e-02, 1.667845416691583e-01, -1.111964739899116e-01, -4.860889784364199e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.672422447853331e-03
5, 9.910500049590000e-01, -1.293363843462116e-03, -1.540233166843349e-02, 1.508786624114547e-01, -1.131689608061703e-01, -4.413751282422581e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.684564885408048e-04
6, 9.878399968150000e-01, -1.753609743384430e-03, -1.405924564121864e-02, 1.373465111386779e-01, -1.146770153007162e-01, -4.019930330799356e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.930721772902862e-04
7, 9.841300249100000e-01, -2.283176811071472e-03, -1.283391907226893e-02, 1.252180743303339e-01, -1.158001952507337e-01, -3.666066933163941e-03, 0.000000000000000e+00, 0.000000000000000e+00, -7.114992076542432e-05
8, 9.799500107769999e-01, -2.876826092032643e-03, -1.171659814826085e-02, 1.143349820002952e-01, -1.167094320622706e-01, -3.343698877834997e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.596519597378506e-04
9, 9.752799868580000e-01, -3.536324145770189e-03, -1.068086771181804e-02, 1.043766101109368e-01, -1.173729095636994e-01, -3.045742857998649e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.119223046772851e-04
10, 9.701499938960000e-01, -4.256268552403566e-03, -9.713828695798057e-03, 9.518291725261105e-02, -1.178414635639845e-01, -2.767972030600719e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.967037290153742e-05
11, 9.645400047300000e-01, -5.038225493362627e-03, -8.803352851852783e-03, 8.661125601933796e-02, -1.181417507474126e-01, -2.508154535304475e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.217804088905607e-05
12, 9.584699869160000e-01, -5.878077433056352e-03, -7.940890152107192e-03, 7.855921256399354e-02, -1.182799703395860e-01, -2.261830355516505e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.847742490466779e-05
13, 9.519400000570000e-01, -6.774428848839826e-03, -7.121063684279492e-03, 7.096251670309536e-02, -1.182821195548949e-01, -2.028772402726160e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.571356748239185e-05
14, 9.449599981310000e-01, -7.724467125531491e-03, -6.340020552283296e-03, 6.377243810330206e-02, -1.181576642919948e-01, -1.806371055841827e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.250675907203310e-06
15, 9.375399947170000e-01, -8.725349486403867e-03, -5.596386949238860e-03, 5.696360959896500e-02, -1.178964103508196e-01, -1.593215200856112e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.597548364400998e-05
16, 9.296900033950000e-01, -9.774221272349531e-03, -4.881559317985328e-03, 5.045476687581663e-02, -1.175334623060990e-01, -1.389748045835606e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.329952654473778e-05
17, 9.214000105860000e-01, -1.087086069705918e-02, -4.194838165931448e-03, 4.423145944901036e-02, -1.170574640069961e-01, -1.193165954510085e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.167992698897188e-05
18, 9.126999974250000e-01, -1.200973104171110e-02, -3.529180982810934e-03, 3.822869116603566e-02, -1.164979500543593e-01, -1.004340431396775e-03, 0.000000000000000e+00, 0.000000000000000e+00, -4.324428376771483e-05
19, 9.035800099370001e-01, -1.319055953446835e-02, -2.887877341335592e-03, 3.246896785025725e-02, -1.158429770328449e-01, -8.210010134949629e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.457211253333260e-05
20, 8.940600156780000e-01, -1.440916392228702e-02, -2.265424198816549e-03, 2.690065877491684e-02, -1.151023920532635e-01, -6.440985417916471e-04, 0.000000000000000e+00, 0.000000000000000e+00, -6.010045144561340e-06
21, 8.841500282290000e-01, -1.566269158090452e-02, -1.662171411839663e-03, 2.152470868516057e-02, -1.142917803829205e-01, -4.719460768605472e-04, 0.000000000000000e+00, 0.000000000000000e+00, -5.445782006012067e-05
22, 8.738499879840000e-01, -1.694956337677533e-02, -1.078681390303814e-03, 1.634068997087355e-02, -1.133949130087100e-01, -3.045280729700229e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.278122097377987e-05
23, 8.631799817090000e-01, -1.826569132102762e-02, -5.079070968007784e-04, 1.128848894167258e-02, -1.124393989655113e-01, -1.419678576522269e-04, 0.000000000000000e+00, 0.000000000000000e+00, -8.657356586892076e-05
24, 8.521599769590000e-01, -1.960709133914372e-02, 4.645838027648557e-05, 6.394980089238204e-03, -1.114020666092834e-01, 1.740241042538580e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.132532855003837e-05
25, 8.407700061800000e-01, -2.097463226217677e-02, 5.939045217852454e-04, 1.581127487219545e-03, -1.103168656009943e-01, 1.719393515784536e-04, 0.000000000000000e+00, 0.000000000000000e+00, -8.706036897932276e-05
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.127472224080594e-03, -3.099559115578692e-03, -1.091490811868615e-01, 3.248651633240722e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.554745839699496e-05
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.657077740357765e-03, -7.727521954652683e-03, -1.079422472633350e-01, 4.733676843157766e-04, 0.000000000000000e+00, 0.000000000000000e+00, -7.667204202844928e-05
28, 8.046399950980000e-01, -2.518763605296113e-02, 2.172915377296876e-03, -1.222278604385563e-02, -1.066847163260022e-01, 6.201158946346926e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.216183890753616e-05
29, 7.919700145720000e-01, -2.662062628442961e-02, 2.679684742227722e-03, -1.662859620716182e-02, -1.053539913698262e-01, 7.649342369667938e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.641708314998340e-05
30, 7.790099978450000e-01, -2.806276676215449e-02, 3.178093490614846e-03, -2.094805701575391e-02, -1.039795560216712e-01, 9.063257493691995e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.207321830049023e-05
31, 7.657799720760000e-01, -2.951033727360171e-02, 3.668773207486554e-03, -2.519409234409628e-02, -1.024983601685067e-01, 1.048617575092257e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.106777964009471e-04
32, 7.522799968720000e-01, -3.096181144522562e-02, 4.161732611883072e-03, -2.944147406161832e-02, -1.009933138347275e-01, 1.185704992361314e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.927678817779696e-05
33, 7.385200262070000e-01, -3.241453277608040e-02, 4.648202480200338e-03, -3.362599163064642e-02, -9.939375006989522e-02, 1.326256290047582e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.423199263831806e-05
34, 7.245299816130000e-01, -3.386376679305321e-02, 5.135921938631089e-03, -3.780423953958854e-02, -9.776523766844322e-02, 1.461154480057077e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.868265420492135e-05
35, 7.103199958800001e-01, -3.530689307158652e-02, 5.615575138436212e-03, -4.190860164090623e-02, -9.602764738988986e-02, 1.599753046202657e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.520931016314128e-04
36, 6.958900094030001e-01, -3.674225211597043e-02, 6.097570152378023e-03, -4.601777977643363e-02, -9.424015602992399e-02, 1.734469893807086e-03, 0.000000000000000e+00, 0.000000000000000e+00, -5.843142065869735e-05
37, 6.812700033190000e-01, -3.816515293304169e-02, 6.571553881641493e-03, -5.005400523545790e-02, -9.233835730092180e-02, 1.871406396182228e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.999878279055961e-04
38, 6.664699912070000e-01, -3.957289370556494e-02, 7.053603316949449e-03, -5.414208238201911e-02, -9.037465755105903e-02, 2.006485939148835e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.574669364673516e-04
39, 6.514999866490000e-01, -4.096270419333766e-02, 7.525947517105828e-03, -5.814355718859097e-02, -8.829414899946408e-02, 2.142760315165283e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.731761200430515e-04
40, 6.363800168040000e-01, -4.233084266562091e-02, 8.010446585591052e-03, -6.223086738170021e-02, -8.612740820449930e-02, 2.278542153930445e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.289854512081676e-04
41, 6.211299896240000e-01, -4.367359094194759e-02, 8.484545649146694e-03, -6.622640902007640e-02, -8.383334811456608e-02, 2.415236916289720e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.055281527222812e-04
42, 6.057599782940000e-01, -4.498807223669178e-02, 8.973116483155736e-03, -7.032580241532961e-02, -8.143459807163864e-02, 2.551706823460574e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.637658887897850e-04
43, 5.902799963950000e-01, -4.627132533375768e-02, 9.451053098491310e-03, -7.433202103464036e-02, -7.889055632042639e-02, 2.689196439499683e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.197211525849729e-04
