"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.0349217      , 0.001           
1               , -0.0158216      , 0.001           
2               , -0.00499753     , 0.001           
3               , 0.000626657     , 0.001           
4               , 0.00314366      , 0.001           
5               , 0.00389718      , 0.001           
6               , 0.00372466      , 0.001           
7               , 0.00312677      , 0.001           
8               , 0.00238594      , 0.001           
9               , 0.00164981      , 0.001           
10              , 0.0009891       , 0.001           
11              , 0.000435928     , 0.001           
12              , 7.05794e-06     , 0.001           
13              , -0.000285485    , 0.001           
14              , -0.000434608    , 0.001           
15              , -0.000447778    , 0.001           
16              , -0.000366426    , 0.001           
17              , -0.000299978    , 0.001           
18              , -0.000415531    , 0.001           
19              , -0.0389825      , 0.001           
20              , -0.0146613      , 0.001           
21              , -0.00235113     , 0.001           
22              , 0.0033693       , 0.001           
23              , 0.00551697      , 0.001           
24              , 0.0058194       , 0.001           
25              , 0.00525956      , 0.001           
26              , 0.00437683      , 0.001           
27              , 0.00344846      , 0.001           
28              , 0.00260302      , 0.001           
29              , 0.00189163      , 0.001           
30              , 0.00133141      , 0.001           
31              , 0.000930393     , 0.001           
32              , 0.000699453     , 0.001           
33              , 0.000654577     , 0.001           
34              , 0.000812138     , 0.001           
35              , 0.00117655      , 0.001           
36              , 0.00171027      , 0.001           
37              , 0.00246561      , 0.001           
